lakeid,title_lake,title,link,citation,archive_link
aech_00009,Bruce Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAJHS,,
aech_00009,Bruce Lake,Come back to this,http://www.barbau.ca/tek_par_br/Bruce%20lake,,
aech_00010,Buck Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.; Prescott, D. R. C., J. Unruh, S. Morris-Yasinski and M. Wells. 2018. Distribution and Abundance of the Western Grebe (Aechmophorus occidentalis) in Alberta: An Update. Alberta Environment and Sustainable Resource Development, Fish and Wildlife Policy Branch, Alberta Species at Risk Report No. 160, Edmonton, AB. 23 pp.",
aech_00010,Buck Lake,,,"Prescott, D. R. C., J. Unruh, S. Morris-Yasinski and M. Wells. 2018. Distribution and Abundance of the Western Grebe (Aechmophorus occidentalis) in Alberta: An Update. Alberta Environment and Sustainable Resource Development, Fish and Wildlife Policy Branch, Alberta Species at Risk Report No. 160, Edmonton, AB. 23 pp.",
aech_00010,Buck Lake,Buck Lake information,https://www.bucklake.info/the-area/,,
aech_00010,Buck Lake,Buck Lake Lakewatch Report,https://alms.ca/wp-content/uploads/2014/01/Buck-2001.pdf,,
aech_00010,Buck Lake,Buck Lake Provincial Recreation Area,https://www.albertaparks.ca/parks/central/buck-lake-pra/information-facilities/camping/buck-lake/,,
aech_00010,Buck Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAJIY,,
aech_00011,Buffalo Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00011,Buffalo Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAJJU,,
aech_00011,Buffalo Lake,uffalo Lake Integrated Shoreland Management Plan (BLISMP),https://alms.ca/wp-content/uploads/2017/11/Buffalo_WMP.pdf,,
aech_00011,Buffalo Lake,Buffalo Lake Provincial Recreation Area,https://www.albertaparks.ca/parks/central/buffalo-lake-pra/,,
aech_00011,Buffalo Lake,Buffalo Lake Intermunicipal Development Plan 2020,https://camrosecounty.civicweb.net/document/131463/,,
aech_00013,Cardinal Lake/Lac Cardinal,Cardinal Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB058,,
aech_00013,Cardinal Lake/Lac Cardinal,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAKMG,,
aech_00013,Cardinal Lake/Lac Cardinal,Lac Cardinal Water Quality Monitoring Report,https://open.alberta.ca/publications/0778550982,,
aech_00013,Cardinal Lake/Lac Cardinal,Queen Elizabeth Provincial Park,https://albertaparks.ca/parks/north/queen-elizabeth-pp/,,
aech_00013,Cardinal Lake/Lac Cardinal,Cardinal Lake Important Bird Area (IBA) map,https://www.Important Bird Area (IBA)canada.org/maps/sites/AB058.pdf,,
aech_00013,Cardinal Lake/Lac Cardinal,Cardinal Lake Bathymetry,https://ags.aer.ca/publication/dig-2008-0729,,
aech_00013,Cardinal Lake/Lac Cardinal,Lac Cardinal Water Quality Monitoring Report,https://www.researchgate.net/publication/233864354_Lac_Cardinal_Water_Quality_Monitoring_Report_Provincial_Parks_Lake_Monitoring_Program,,
aech_00014,Coal Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00014,Coal Lake,Coal Lake North Provincial Recreation Area,https://www.albertaparks.ca/parks/central/coal-lake-north-pra/,,
aech_00014,Coal Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANER,,
aech_00015,Cold Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00015,Cold Lake,Cold Lake District Map - Alberta Parks,https://albertaparks.ca/media/6494242/cold-lake-district-map-of-parks-in-cold-lake-district.pdf,,
aech_00015,Cold Lake,Cold Lake FIsheries Fact Sheet,https://www.alberta.ca/assets/publications/aep-cold-lake-fact-sheet.pdf,,
aech_00015,Cold Lake,Reservoir description of the clearwater oil sand Cold Lake,https://collections.lib.utah.edu/ark:/87278/s6rf8t7x,,
aech_00015,Cold Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANFN,,
aech_00016,Conn Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANHW,,
aech_00017,Cooking Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00017,Cooking Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANIR,,
aech_00017,Cooking Lake,Cooking Lake Blackfoot Provincial Recreation Area,https://www.albertaparks.ca/parks/central/cooking-lake-blackfoot-pra/,,
aech_00018,Crow Indian Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00018,Crow Indian Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAOEY,,
aech_00019,Cushing Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAOGM,,
aech_00020,Deadhorse Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAPSP,,
aech_00021,Dinosaur Provincial Lake,,,"Prescott, D. R. C., J. Unruh, S. Morris-Yasinski and M. Wells. 2018. Distribution and Abundance of the Western Grebe (Aechmophorus occidentalis) in Alberta: An Update. Alberta Environment and Sustainable Resource Development, Fish and Wildlife Policy Branch, Alberta Species at Risk Report No. 160, Edmonton, AB. 23 pp.",
aech_00021,Dinosaur Provincial Lake,Dinosaur Provincial Park Guide,https://albertaparks.ca/media/6495913/dinosaur-park-brochure.pdf,,
aech_00022,Driedmeat Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00022,Driedmeat Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IABOF,,
aech_00022,Driedmeat Lake,Battle River Watershed Alliance Paddle Guide,https://www.battleriverwatershed.ca/wp-content/uploads/2019/11/Dried-Meat-Lake-Paddle-the-Battle-Guide.pdf,,
aech_00022,Driedmeat Lake,Battle River Water Quality Report,https://open.alberta.ca/dataset/97ce6ed7-ac7c-4aae-85ec-3824d506b84b/resource/17835f3f-b96e-479f-901d-5d6d08dca887/download/5807.pdf,,
aech_00023,Eagle Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00023,Eagle Lake,"Eagle, Namaka and Stobart Lakes Important Bird Area (IBA) Site Summary",https://www.ibacanada.com/mobile/site.jsp?siteID=AB078,,
aech_00023,Eagle Lake,"Eagle, Namaka and Stobart Lakes Key Biodiversity Area (KBA) Summary",https://www.keybiodiversityareas.org/site/factsheet/11029,,
aech_00024,Ethel Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00024,Ethel Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IADAY,,
aech_00025,Etzikom Coulee,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IADBG,,
aech_00025,Etzikom Coulee,County of Forty Mile Scenic Places and Attractions,https://www.40mile.ca/scenic-places-attractions,,
aech_00027,Fincastle Lake/Fincastle Reservoir,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAEQN,,
aech_00027,Fincastle Lake/Fincastle Reservoir,Fincastle Lake Reservoir Bathymetry,https://open.alberta.ca/dataset/4c0e96ae-9c8f-4b6d-9c43-9e2a8077b436/resource/a9b808a6-a687-4652-8e17-5f3196deaef7/download/fincastle-bathymetry-2004-bw.pdf,,
aech_00027,Fincastle Lake/Fincastle Reservoir,Environmentally Significant Areas (ESAs) Description,https://albertaparks.ca/media/3194498/esa_ab_vol2.pdf,,
aech_00028,Fork Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAFEM,,
aech_00028,Fork Lake,Fork Lake Water Quality Report 2019,https://lica.ca/wp-content/uploads/2019/11/Fork-Lake-Report-2019.pdf,,
aech_00029,Forty Mile Coulee Reservoir,,,"Prescott, D. R. C., J. Unruh, S. Morris-Yasinski and M. Wells. 2018. Distribution and Abundance of the Western Grebe (Aechmophorus occidentalis) in Alberta: An Update. Alberta Environment and Sustainable Resource Development, Fish and Wildlife Policy Branch, Alberta Species at Risk Report No. 160, Edmonton, AB. 23 pp.",
aech_00029,Forty Mile Coulee Reservoir,Forty Mile Coulee Reservoir Bathymetry,https://open.alberta.ca/dataset/e20b3ee8-331b-401b-ab02-15f1c3a5b6d9/resource/4ced37a8-fc6a-4dab-8d56-9aa696a83df1/download/forty-mile-res-bathymetry-2002-colour.pdf,,
aech_00029,Forty Mile Coulee Reservoir,County of Forty Mile - 40 Mile Park,https://www.40mile.ca/parks-and-recreation,,
aech_00029,Forty Mile Coulee Reservoir,St. Mary River Irrigation Project Geotechnical Foundations,https://www.cgs.ca/pdf/heritage/Rev5-CGA21-St_Marys-EN.pdf,,
aech_00030,Fox Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAFHK,,
aech_00031,Frank Lake,,,"Beyersbergen, G. W., W. A. Calvert, R. C. Bazin, S. J. Barry and B. A. Gingras. 2009. Spatial and temporal distribution and abundance of the Franklin’s Gull in the Canadian Prairie Provinces: 2005–2007. Canadian Wildlife Service Technical Report Series Number 504, Prairie and Northern Region. Edmonton, Alberta.",
aech_00031,Frank Lake,Ducks Unlimited Canada - Frank Lake,https://www.ducks.ca/places/alberta/frank-lake/,,
aech_00031,Frank Lake,Frank Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/mobile/site.jsp?siteID=AB079,,
aech_00031,Frank Lake,Frank Lake Water Quality 1990 to 1993,https://open.alberta.ca/publications/1793137,,
aech_00031,Frank Lake,Frank Lake Nutrient Retention,https://www.researchgate.net/publication/251366711_Nutrient_Retention_in_a_Northern_Prairie_Marsh_Frank_Lake_Alberta_Receiving_Municipal_and_AgroIndustrial_Wastewater,,
aech_00031,Frank Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAFTU,,
aech_00032,Frog Lake,Frog Lake Lakewatch Report 2016,https://alms.ca/wp-content/uploads/2017/08/2016-FROG_LAKE-Report.pdf,,
aech_00032,Frog Lake,Frog Lake Watershed Boundary,https://alms.ca/wp-content/uploads/2016/12/Frog.pdf,,
aech_00032,Frog Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAFVO,,
aech_00033,Garner Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00033,Garner Lake,Garner Lake Area Structure Plan,https://www.county.stpaul.ab.ca/wp-content/uploads/2019/07/No._1576_-_Garner_Lake_ASP.pdf,,
aech_00033,Garner Lake,Garner Lake Lakewatch Report 2017,https://alms.ca/wp-content/uploads/2018/03/Garner-2017.pdf,,
aech_00033,Garner Lake,Garner Lake Provincial Park Brochure,https://open.alberta.ca/dataset/41b36c50-58d0-4383-a937-7e5d130d6b2c/resource/90ef31e9-f326-4cd2-9904-c1f1cefd9674/download/2010-garner-lake-brochure.pdf,,
aech_00033,Garner Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAFXX,,
aech_00034,Genesee Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IATCP,,
aech_00034,Genesee Lake,Genessee Natural Area,https://www.albertaparks.ca/parks/central/genesee-na/,,
aech_00035,Gleniffer Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00035,Gleniffer Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAQSV,,
aech_00035,Gleniffer Lake,Gleniffer Reservoir Provincial Recreation Area,https://www.albertaparks.ca/parks/central/gleniffer-reservoir-pra/,,
aech_00035,Gleniffer Lake,Gleniffer Lake Lakewatch Report 2018,https://alms.ca/wp-content/uploads/2018/04/Gleniffer-2017.pdf,,
aech_00036,Gull Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00036,Gull Lake,Aspen Beach Provincial Park,https://www.albertaparks.ca/parks/central/aspen-beach-pp/,,
aech_00036,Gull Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAHSD,,
aech_00037,Handhills Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAIMX,,
aech_00037,Handhills Lake,Handhills Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB024,,
aech_00038,Harold Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAION,,
aech_00039,Hastings Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.; Wollis, H., and C. Stratmoen. 2010. Population study of western grebes in Alberta 2001-2009: Implications for management and status designation. Alberta Sustainable Resource Development, Fish and Wildlife Division, Alberta Species at Risk Report No. 138. Edmonton, AB. 18 pp.",
aech_00039,Hastings Lake,,,"Wollis, H., and C. Stratmoen. 2010. Population study of western grebes in Alberta 2001-2009: Implications for management and status designation. Alberta Sustainable Resource Development, Fish and Wildlife Division, Alberta Species at Risk Report No. 138. Edmonton, AB. 18 pp.",
aech_00039,Hastings Lake,Hastings Lake Lakewatch Report 2012,https://alms.ca/wp-content/uploads/2014/01/Hastings-2012.pdf,,
aech_00039,Hastings Lake,Hastings Lake Islands Natural Area,https://www.albertaparks.ca/parks/central/hastings-lake-islands-na/,,
aech_00040,Horsefly Reservoir,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAKVW,,
aech_00040,Horsefly Reservoir,Come back and check,https://iaac-aeic.gc.ca/050/documents/p83135/142733E.pdf,,
aech_00040,Horsefly Reservoir,Horsefly Spillway Municipal News,https://www.mdtaber.ab.ca/p/horsefly-emergency-spillway-project-funding-announcement,,
aech_00041,Isle Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.; Hanus, S., L. Wilkinson, AND H. Wollis. 2002. Western (Aechmophorus occidentalis) and Eared (Podiceps nigricollis) Grebes of Central Alberta: 2002 Field Season Summary. Alberta Sustainable Resource Development, Fish and Wildlife Division, Alberta Species at Risk Report Number 60. Edmonton, Alberta, Canada.",
aech_00041,Isle Lake,,,"Hanus, S., L. Wilkinson, AND H. Wollis. 2002. Western (Aechmophorus occidentalis) and Eared (Podiceps nigricollis) Grebes of Central Alberta: 2002 Field Season Summary. Alberta Sustainable Resource Development, Fish and Wildlife Division, Alberta Species at Risk Report Number 60. Edmonton, Alberta, Canada.",
aech_00041,Isle Lake,Isle Lake and Lac Ste Ann State of the Watershed Report 2017,https://alms.ca/wp-content/uploads/2017/11/Lac_Ste_Anne_and_Isle_SoW.pdf,,
aech_00041,Isle Lake,Isle Lake Natural Area,https://www.albertaparks.ca/parks/central/isle-lake-na/,,
aech_00041,Isle Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IALZO,,
aech_00042,Lac La Biche/LLB Lake,,,"COSEWIC. 2014. COSEWIC assessment and status report on the Western Grebe Aechmophorus occidentalis in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. x + 55 pp. (www.registrelep-sararegistry.gc.ca/default_e.cfm).; Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00042,Lac La Biche/LLB Lake,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00042,Lac La Biche/LLB Lake,Lac La Biche Important Bird Area (IBA) Conservation Plan 2000,https://www.ibacanada.ca/documents/conservationplans/ablaclabiche.pdf,,
aech_00042,Lac La Biche/LLB Lake,Lac La Biche Lakewatch Report 2004,https://alms.ca/wp-content/uploads/2015/02/LaBiche-2004.pdf,,
aech_00042,Lac La Biche/LLB Lake,Lac La Biche Water Quality Report 2019,https://lica.ca/wp-content/uploads/2019/11/LLB-Lake-West-Basin-Report-2019.pdf,,
aech_00042,Lac La Biche/LLB Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAJAE,,
aech_00043,Lac La Nonne,,,"Hanus, S., L. Wilkinson, AND H. Wollis. 2002. Western (Aechmophorus occidentalis) and Eared (Podiceps nigricollis) Grebes of Central Alberta: 2002 Field Season Summary. Alberta Sustainable Resource Development, Fish and Wildlife Division, Alberta Species at Risk Report Number 60. Edmonton, Alberta, Canada.; Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00043,Lac La Nonne,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00043,Lac La Nonne,Lac La Nonne Lakewatch Report 2020,https://alms.ca/wp-content/uploads/2021/04/LacLaNonne_2020_20210429.pdf,,
aech_00043,Lac La Nonne,Lac La Nonne Natural Area,https://www.albertaparks.ca/parks/central/lac-la-nonne-na/,,
aech_00043,Lac La Nonne,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANRD,,
aech_00044,Lac Sante,Lac Sante Watershed Boundary Map,https://alms.ca/wp-content/uploads/2016/12/Lac-Sante.pdf,,
aech_00044,Lac Sante,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAGLH,,
aech_00044,Lac Sante,Lac Sante Lakewatch Report 2020,https://alms.ca/wp-content/uploads/2021/04/LacSante_2020_20210429.pdf,,
aech_00045,Lac Ste. Anne,,,"Messager, M. L., B. Lehner, G. Grill,  I. Nedeva, and O. Schmitt. 2016. Estimating the volume and age of water stored in global lakes using a geo-statistical approach. Nature Communications 7:13603.  Data is available at www.hydrosheds.org.",
aech_00045,Lac Ste. Anne,"Isle Lake and Lac Ste Anne State of the
Watershed Report 2017",https://alms.ca/wp-content/uploads/2017/11/Lac_Ste_Anne_and_Isle_SoW.pdf,,
aech_00045,Lac Ste. Anne,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAGHO,,
aech_00047,Lake Newell and Kitsim Reservoir,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00047,Lake Newell and Kitsim Reservoir,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IANOQ,,
aech_00047,Lake Newell and Kitsim Reservoir,Lake Newell and Kitsim Reservoir Important Bird Area (IBA) Site Description,https://www.ibacanada.com/mobile/site.jsp?siteID=AB015,,
aech_00047,Lake Newell and Kitsim Reservoir,Lake Newell and Kitsim Reservoir Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB015,,
aech_00048,Landry Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IACHG,,
aech_00049,Lesser Slave Lake,,,"Eadie, G. 2002. 2002 Lesser Slave Lake western grebe survey. Lesser Slave Lake Bird Observatory. Lesser Slave Lake, Alberta. 17 pp.",
aech_00049,Lesser Slave Lake,Lesser Slave Lake Important Bird Area (IBA) Site Description,https://www.ibacanada.org/mobile/site.jsp?siteID=AB003,,
aech_00049,Lesser Slave Lake,Lesser Slave Watershed Council (LSWC),https://www.lswc.ca/,,
aech_00049,Lesser Slave Lake,Lesser Slave Lake Bird Observatory,https://www.lslbo.org/,,
aech_00049,Lesser Slave Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IAAPQ,,
aech_00049,Lesser Slave Lake,Lesser Slave Lake Provincial Park,https://www.albertaparks.ca/parks/north/lesser-slave-lake-pp/,,
aech_00049,Lesser Slave Lake,Lesser Slave Basins Water Management Plan,https://www.alberta.ca/lesser-slave-basins-water-management-plan.aspx,,
aech_00049,Lesser Slave Lake,Lesser Slave Basins Map,https://www.ecologyandsociety.org/vol17/iss2/art20/figure1.html,,
aech_00050,Little Fish Lake,,,"Mitchell, P. 1990. Atlas of Alberta Lakes, University of Alberta Press. ProQuest Ebook Central, http://ebookcentral.proquest.com/lib/uidaho/detail.action?docID=3411706.",
aech_00050,Little Fish Lake,Canadian Geographical Names Database (CGNDB),https://geonames.nrcan.gc.ca/search-place-names/unique?id=IADKG,,
aech_00050,Little Fish Lake,Little Fish Lake Important Bird Area (IBA) Site Summary,https://www.ibacanada.org/site.jsp?siteID=AB022,,
aech_00050,Little Fish Lake,Little Fish Lake Provincial Park,https://www.albertaparks.ca/parks/central/little-fish-lake-pp/,,
aech_00051,Louisiana Lakes Reservoir,,"Lake coordinates, Google Earth, earth.google.com/web/",,
